"eng_size_l","fuelcomblit","co2_emit"
5.3,13.1,307
5.3,18.3,309
5.3,13.8,324
6.2,14.1,331
5.3,13,304
1.4,7.8,184
1.4,7.4,174
1.8,8.3,193
1.8,8.1,190
1.4,7.8,184
1.4,7.4,174
1.8,8.3,193
1.8,8.1,190
1.4,7.1,167
1.4,7.1,166
5.3,13,305
5.3,13,305
5.3,17.2,285
5.3,13.3,313
5.3,13.3,312
5.3,19.3,321
5.3,13,305
5.3,13,305
5.3,17.2,285
5.3,13.2,310
5.3,13.2,310
5.3,18,299
6.2,13.8,325
2,10.5,246
3.6,11,258
3.6,11.8,276
1.4,8.3,194
1.4,8.2,194
1.4,8.9,210
3.6,10.3,242
3.6,10.3,242
3.6,14.2,234
5.7,12.3,289
3.6,11,258
3.6,11,258
3.6,15,248
3.6,10.9,259
3.6,10.6,249
3.6,10.3,242
5.7,13.1,307
6.4,13.9,325
5.7,12.3,289
6.4,12.9,302
3.6,11,258
3.6,11,258
3.6,15,248
6.4,13.9,325
6.4,12.9,302
6.2,14.5,339
6.2,14.5,339
6.2,15.1,352
3.6,11.6,271
3.6,11.6,271
3.6,16.1,268
3.6,10.3,242
3.6,10.3,242
3.6,14.2,234
5.7,12.9,302
5.7,12.3,289
6.4,12.9,302
3.6,11,258
3.6,11,258
3.6,15,248
5.7,13.3,312
6.4,12.9,302
6.2,14.5,339
3.6,11.3,265
5.7,14.1,331
6.4,15.6,363
3.6,11.8,276
3.6,16.7,274
2.4,11.1,261
3.6,12.1,284
3.6,16.4,274
3.6,12.4,292
1.4,8,187
1.4,7.9,185
1.4,8.7,202
1.4,7.8,182
1.4,8.7,202
1.4,7.8,182
1.4,9.4,221
1.4,8.4,197
2.4,9.4,220
2.4,9.7,226
2,5.9,138
1,8.4,195
2,9.3,217
2,9.9,233
2,9.9,231
3.5,11.5,270
2,10.5,246
2.7,12,282
3.5,12.4,291
1.5,9.1,214
2.5,9.7,229
2.5,13.3,219
1.5,9.6,226
2,10.3,241
3.5,12.4,291
3.5,13.2,311
2.3,10.8,254
3.5,12.1,283
3.5,16.2,269
2.3,11.4,267
3.5,13,305
3.5,12.7,299
3.5,17.3,288
2.7,10.6,249
2.7,10.8,253
2.7,11,258
3,9.5,256
3,9.7,260
3.3,11,259
3.3,10.9,257
3.3,14.9,248
3.3,11.2,263
3.3,11.2,263
3.3,14.9,248
3.5,12,282
3.5,12.3,288
3.5,12.5,293
5,12.4,292
5,12.2,286
5,17.4,288
5,13.1,308
5,13.1,307
5,17.4,288
5,13.8,324
5,13.8,323
5,17.4,288
2.7,11.3,265
2.7,11.8,277
2.7,11.6,272
3,10.7,288
3,10.7,288
3,9.9,266
3.3,11.8,277
3.3,11.7,273
3.3,15.8,263
3.3,12.4,291
3.3,12.4,291
3.3,15.8,262
3.5,12.6,295
3.5,12.7,297
3.5,13,305
5,13,304
5,13.3,311
5,18,300
5,13.8,324
5,13.8,324
5,18,300
5,14.2,334
5,14.5,339
5,19.5,325
3.5,14.5,339
1.6,7.6,179
1.6,7.8,182
1.6,8.2,192
3.5,12.7,298
3.5,12.9,303
3.5,13.7,322
1,7.5,176
1,7,164
2,7.7,179
2,8.5,200
2,8.3,196
2.3,10.8,252
2,9.3,219
1.5,8.7,203
2,9.6,225
2.5,9.5,223
2,10.2,238
2.7,11.8,277
2,5.6,131
3.5,17.1,403
2.3,9.4,219
2.3,10.1,236
2.3,9.5,222
2.3,10.3,240
5,12.5,291
5,12.8,300
2.3,10.2,238
2.3,10.3,240
5,13.1,305
5.2,14.6,341
3.5,14.7,345
3.7,15.1,354
3.5,11.1,260
3.5,15,249
3.5,12.5,294
3.5,12.4,291
3.5,16.3,271
2.5,10.4,244
2.5,14.3,234
2.5,10.7,251
2.5,14.7,241
3.3,11.9,282
3.8,11.7,276
5,13.2,312
3.3,11.9,279
5,13,306
2.5,10.2,239
3.6,11.4,268
2.5,10.4,243
3.6,11.7,275
2.5,10.8,253
2.5,10.7,251
2.8,9.6,257
3.6,11.7,274
2.5,11.3,266
2.8,10.4,279
3.6,12.2,288
4.3,11.8,278
4.3,17.1,284
5.3,12.7,298
5.3,12.7,298
5.3,17,283
5.3,13.1,307
6.2,13.8,323
5.3,11.8,278
4.3,12.5,294
4.3,18,296
5.3,13.1,307
5.3,13.1,307
5.3,18.3,309
5.3,13.8,324
6.2,14.1,331
5.3,13,304
1.5,8.6,201
1.6,7.4,198
1.5,9,210
1.6,7.4,198
2,10.2,239
5.3,13,305
5.3,13,305
5.3,17.2,285
5.3,13.2,310
5.3,13.2,310
5.3,18,299
6.2,13.8,325
5.3,13,305
5.3,13,305
5.3,17.2,285
5.3,13.3,313
5.3,13.3,312
5.3,19.3,321
6.2,14.5,340
1.5,7.2,168
1.5,7.6,177
1.5,7.9,185
2,9.2,214
2,9.1,211
2,5.1,118
1.5,6.8,158
1.5,6.8,158
2,7,163
2,7.4,173
1.5,7.4,173
1.5,6.9,162
1.5,7.3,170
1.5,7.2,167
1.5,7.3,170
1.5,7.2,167
1.5,6.6,153
2,7,163
2,7.4,172
1.5,7.4,173
2,9.6,224
1.5,7.8,181
1.5,8,188
1.5,6.5,151
1.5,7,166
1.5,7.4,174
1.8,7.7,180
1.8,7.7,180
1.8,8.4,195
1.8,8.2,194
1.8,8.2,194
3.5,10.7,252
3.5,10.6,247
3.5,11.3,266
3.5,11,256
3.5,11.3,264
1.6,8.1,189
1.6,7.4,173
1.6,7.3,173
1.6,9.4,221
2,7.4,174
2,8,188
1.6,8.3,194
1.6,9.6,226
2,8.4,198
2,8.7,205
1.6,4.3,102
1.6,4.1,96
2,7.9,186
1.6,8.6,201
2,8.6,202
3.3,11.3,265
3.3,11.5,269
3.3,12.5,295
2.4,10,235
2.4,10.7,253
2,11.2,264
2,9.1,212
2.4,8.5,202
2,5.7,135
2,5.6,132
2,9,213
1.6,9.3,221
2,10.2,241
2,9.7,228
3,10.8,253
3,11.1,260
3.5,8.5,200
2,10,233
3,10.7,251
3,11,259
3.7,11.7,274
5.6,12.8,301
2,8.5,200
2,9.4,221
3.5,10.9,257
5.6,15.1,354
2,8.1,218
2,9.9,227
3,11.8,277
2,9.2,215
3,10.4,242
3,12.6,296
3,10.8,253
3,12.9,302
3,11.3,265
2,9.2,215
3,10.4,242
3,12.6,296
3,10.8,253
3,12.9,302
3,11.3,265
5,13.3,311
5,13.3,311
2,6.9,186
2,8.5,200
3,10.2,238
2,6.9,186
2,8.8,207
3,10.4,243
3,11.8,276
3,11.9,280
5,13.3,313
2.4,9.6,225
2.4,13.3,218
3.2,10,234
2.4,10,235
2.4,10,235
2.4,14,231
3.2,10.3,241
2.4,10.2,239
3.2,11.1,259
2.4,10.9,256
3.2,11.6,269
2.4,9.3,218
2.4,9,211
2.4,9.5,222
2.4,9.4,221
3,10,268
3.6,11.3,265
5.7,14.1,331
6.4,15.7,368
6.2,17.7,413
2,10,233
3.6,11.8,274
3.6,11.8,277
2,10.5,245
3.6,11.7,275
3.6,12.2,285
1.4,8.9,209
2.4,9.5,222
2.4,9.5,222
2.4,12.5,206
1.4,8.9,211
2.4,9.8,230
3.6,12.8,299
3.6,12.8,298
3.6,13.4,313
3.6,13.3,312
3.3,10.2,237
2,7.1,168
2,8.3,198
2,8.3,195
1.6,8.7,207
2,8.3,197
2,8.7,204
3.8,11.8,279
5,13.3,317
1.6,4.8,114
1.6,4.7,110
1.6,5.4,129
2,9.4,224
2.4,8.4,198
2.4,8,190
2,5.6,132
1.6,7.5,177
1.6,7.5,175
3.3,11.6,275
3.3,11.4,269
3.3,12.5,296
2.4,9.9,234
2,11,259
2.4,10.5,246
3.3,12.2,289
3.3,11.4,270
1.6,8.5,199
1.6,8.7,205
2,8.7,206
2.4,9.2,218
2,11.1,263
2.4,10.5,247
3.3,11.3,265
6.5,19.4,454
6.5,19.8,464
6.5,19.4,454
6.5,19.8,464
5.2,14.4,336
5.2,15,349
5.2,14.5,337
5.2,15,350
2,10.5,246
2,9.6,225
2,9.8,231
2,8.5,229
3,11.6,273
2.5,5.9,139
3.5,9.7,226
3.5,11,257
3.5,7.5,176
5,12.5,293
4.6,14.6,341
2,9.1,214
3.5,10.9,254
3.5,10.9,254
5,12.2,286
3.5,8,187
3.4,10.2,240
3.4,11,259
3.5,8.4,195
3.5,9.1,211
5.7,15.8,371
2,9.7,226
2,9.9,232
2.5,7.5,176
3.5,11.2,262
3.5,11.2,262
5,12.6,289
3.5,10.8,252
3.5,11.1,268
3.5,7.9,185
2.7,12,280
3,12.3,290
3.7,12.2,287
2,10.9,256
2,10.8,254
2.3,11.5,269
3.5,13.7,322
3.7,12.7,298
2.7,12.1,284
3.7,12.5,293
2,10.3,242
3,11.8,278
2,5.9,139
3.5,13.3,310
3,12.2,286
3,12.4,293
3,12.6,295
4.7,15.1,355
4.7,15.2,358
3,14.4,340
3,14.7,346
3.8,13.7,321
3,12.8,300
3,12.8,301
2,7.6,180
2,8.1,189
2,8.2,192
2,8.8,206
2.5,8.8,206
2.5,8.5,201
2.5,9.3,217
2.5,9,208
2.5,9.6,225
2.5,10.4,242
2,7.5,176
2,7.5,175
2,7.5,175
2.5,7.8,182
2.5,7.6,176
2.5,8.2,194
2,7.5,174
2,7.6,178
2.5,7.8,187
2.5,7.8,181
2.5,8.4,198
2.5,8,187
2.5,8.9,208
2,8,188
2,8.1,189
3,10.4,244
3,11,256
3,10.5,245
4,11.7,274
4,12.4,291
4,12.1,285
4,11.7,274
4,12.4,291
4,12.2,285
2,9.2,217
3,11.1,258
4,13.3,313
4,13.3,312
5.5,17.9,419
6,20.3,473
2,9.6,225
3,11.8,277
3,11.6,272
3,12.1,282
3,12.2,285
5.5,15.5,364
5.5,15.2,357
5.5,15.7,367
4,12.8,302
4,13,304
4,13.8,322
4,13.8,322
4,13.9,324
4,12.8,302
4,11.8,275
4,13.1,306
4,11.6,271
6,15.1,356
5.5,12.4,291
6,14.5,339
3,10.1,236
2,8.4,196
2,9.1,215
2,9.1,214
2,9.6,224
2,9.3,218
2,9.5,222
2,8.2,193
2,8.7,204
2,9.7,227
3,10.4,246
3,10.8,251
3,10.6,248
3,11.1,261
4,17.5,410
2,9,209
2,10,240
2,10,235
3,12.1,282
4.7,13.5,317
3,13,305
4.7,14.7,346
6,15.1,355
2,10.7,251
2,11.4,268
3,10.9,255
4,11.8,276
4,11.3,265
4,11.2,261
4,11.4,269
3,10.2,238
4.7,11.8,275
2,8.6,202
1.5,7.9,184
1.5,7.5,175
1.5,7.9,184
1.5,7.4,174
1.5,9,212
1.5,9.1,214
1.5,7.9,184
1.5,7.4,174
1.5,9.2,215
1.5,9.1,214
2,8.4,197
2,9,210
2,8.4,197
2,9,210
2,9.2,215
2,9.7,227
2,8.3,195
2,9,210
2,9.2,215
2,9.7,227
2,8.4,197
2,9,210
2,9,211
2,9.7,228
2,8.7,203
2,9.4,220
2,9.3,220
2,9.9,232
1.5,8.9,208
1.5,9.3,216
1.2,6,141
1.2,6.5,150
1.2,6.4,149
1.2,6.6,155
2.4,9.1,212
3,10.6,248
2,8.8,204
2,9.3,216
2,9.2,213
2.4,9.4,219
3.7,11.1,261
3.7,11.5,269
3.7,11.5,270
3.7,11.8,278
2.5,7.6,179
2.5,7.8,185
3.5,9.1,214
5.6,15.4,362
2.5,12.3,290
2.5,11.4,268
4,12.8,300
4,13.9,326
4,13.5,317
3.8,12.8,300
1.6,7.2,169
3.5,9.6,227
1.6,8,188
1.6,7.9,186
3.5,9.8,230
3.5,9.9,232
2,9.3,218
3.5,10.2,240
3.5,10.7,250
3.5,11,259
2,8.1,191
2,9.2,216
2,8.4,196
2.5,8.2,192
2.5,8.7,205
1.8,7.3,172
1.8,8,187
1.6,8.2,193
1.6,8.3,195
1.6,8.7,205
1.6,8.7,204
5.6,13.3,312
5.6,13.4,315
5.6,14.1,331
1.6,7,164
1.6,7.7,180
3,9.4,221
3,10.1,237
3,9.7,227
3,10.3,241
3,10.4,243
3,11.1,260
3,10.6,249
3,11,258
3,9.7,226
3,10.4,242
3,9.7,228
3,10.4,243
3,9.6,225
3,10.4,242
3,9.8,230
3,10.5,246
3,10.6,248
3,11,257
3,10.7,250
3,11.1,260
3,9.9,232
3,10.4,243
3,9.9,231
3,10.5,246
4,13.9,324
4,15.1,352
3,9.8,228
3,10.5,246
3,10.8,251
3,11.4,266
3,10,233
3,10.5,246
3.8,11.4,266
3.8,11.4,267
3.8,11.4,266
3.8,11.4,267
3.8,12.3,285
2,9.4,219
2,9.8,229
2.5,10.6,249
2.5,11,257
2.5,9.9,230
2.5,10.7,249
3.6,11.5,268
3.6,12.6,296
3.6,12.1,281
3.6,12,281
4.8,14.3,334
4.8,14.3,334
2,9.4,219
2,9.8,229
2.5,10.6,249
2.5,11,257
2.5,9.9,230
2.5,10.7,249
2,10.6,248
3,12.3,287
3,12.2,285
3.6,12.3,287
3.6,12.3,286
3,9.8,229
3,10.1,235
3,10.1,235
3,10.4,242
2.9,10.1,235
2.9,10.1,235
2.9,10.7,249
4,11.2,261
4,11.2,261
4,11.9,279
3.6,11.9,280
3.6,17,283
5.7,14.8,346
5.7,13.6,319
3,10.4,278
3.6,12.6,294
3.6,18,300
5.7,16.3,382
5.7,14,328
3,10.8,289
2.4,9.9,232
6.6,17,397
6.6,17,397
6.6,17,397
6.7,16.6,387
6.7,16.6,387
6.6,16.6,388
2,8.6,200
2,9.8,229
2,10.2,239
2,8.1,188
2,9.4,220
2,9.5,223
2.5,8.4,196
2.5,9.7,228
2,7.5,174
2,8.9,208
2,7.5,176
2,9,211
2.5,8.3,193
3.6,10.3,241
2.5,8.5,198
3.6,10.5,247
2,11.2,256
2,10,235
2.5,12.5,291
2.5,12.8,296
4,13.2,308
4,13.2,308
2,8.7,204
2,9.9,232
3.5,9.7,226
2.5,6.9,164
2.5,7.3,172
2.5,7.4,173
3.5,9,210
3.5,9.2,215
2.5,4.9,113
2.5,5.1,121
2,8.2,189
1.8,7.5,174
1.8,7.5,178
1.8,7.6,178
1.8,6.9,163
1.8,7.2,168
1.8,7.5,176
1.8,7.9,185
3.5,10.3,243
3.5,10.6,251
3.5,10.6,247
3.5,10.4,242
3.5,8.3,193
1.8,4.5,105
1.5,5.1,120
1.8,5.8,135
2.5,9,210
2.5,9.5,222
2.5,9.7,226
2.5,7.3,171
5.7,16.4,384
3.5,10.9,256
3.5,11.7,274
2.7,11.2,263
3.5,11.4,268
2.7,11.7,274
3.5,12.1,283
3.5,12.7,299
3.5,12.9,300
5.7,15.9,371
4.6,14.9,354
5.7,16.3,383
1.5,6.6,155
1.5,6.8,164
1.5,7.4,173
1.5,7.2,168
2,10,233
3.6,12.1,282
2,8.2,191
2,8.2,191
2,8.1,189
2,8.1,189
1.8,8.5,199
1.8,8.2,192
2,8.6,200
2,8.5,199
2,9.4,220
2,9.8,227
1.8,9.4,220
1.8,9.6,225
1.8,8.5,199
1.8,8.2,192
1.8,9.6,224
1.8,9.3,218
2,8.1,188
3.6,10.6,246
2,9.8,229
2,10.2,237
2,9.7,226
2,9.4,221
2,10.3,241
2,9.4,220
2,8.8,206
2,9.3,216
2,9.7,226
2,9.4,221
2,10.3,241
2,9.4,220
2,9.3,216
2,9.2,214
2,9.6,224
2,9.8,228
2,10.2,240
2,9.7,227
2,10.3,240
2.4,8.6,199
3.5,10.8,252
3.5,11,258
3,9,210
3.5,11,261
2,9.9,232
2,10.3,242
3.5,8.4,196
2.4,8.7,205
2.4,8.9,209
3.5,9.8,228
3.5,10.3,240
1.8,8.4,197
1.8,8.4,197
2,8.7,205
2,9.2,217
2.9,11.9,280
2,9.3,218
2,9.6,226
2.9,12.4,292
4,11.5,271
5.2,13.3,312
5.2,13.8,324
6,14.1,332
6,14.7,346
4,11.2,264
2,8.1,188
2,9.6,225
2,9.5,221
2,7.8,182
2,8.7,204
2,9.5,221
2,8.7,204
2,8.7,204
2,8.7,204
3,9.6,224
3,9.6,224
3,10.8,252
2,10.6,248
2,9.9,230
2,11,258
3,11.1,260
3,12.5,294
2.5,10.6,247
2.9,11.3,262
2.9,11.5,268
2,9.5,222
3,9.8,230
3,9.8,230
3,9.9,234
3,9.8,230
3,11.5,270
2,9.2,213
2,9.2,213
2.5,10.3,241
2,9.4,220
4,13.6,315
6.8,20,465
2,8.8,207
2,8.6,202
2,8.3,194
2,8.8,207
2,8.8,207
2,9.1,213
2,8.8,207
2,8.8,207
3,9.4,227
3,11,256
3,10,235
3,9.7,228
3,11,256
3,9.7,228
2,8.8,207
3,9.8,231
3,10.5,248
3,10.3,241
4.4,12,282
4.4,11.5,269
4.4,12,282
4.4,12,282
4.4,12,282
3,12.6,294
3,11.7,273
3,9.7,227
3,11,256
3,9.7,227
3,11,256
3,9.7,227
3,11,256
3,9.8,229
3,9.8,229
3,9.8,229
3,12.7,299
3,11.9,280
3,12.7,299
3,11.9,280
3,12.6,294
3,11.7,273
3,12.6,294
3,11.7,273
3,12.6,294
4.4,13.9,324
4.4,13.9,324
4.4,11.5,269
4.4,14.7,344
6.6,15.1,355
4.4,11.6,270
4.4,11.5,269
2,9.3,217
2,9.5,222
2,9.6,223
3,10.4,245
2,9.6,223
3,10.4,245
3,10.5,245
4.4,13.4,314
3,11.6,272
4.4,12.6,294
4.4,14.6,341
3,10.8,254
4.4,12.6,294
8,22.2,522
3.6,11.2,263
3.6,11.9,278
1.4,8.7,204
1.4,8.3,194
1.4,9.1,214
1.4,8.8,205
2,10.7,249
2.5,10,234
3.6,9.9,233
2.5,8.2,192
3.6,10.1,238
2,9.1,214
2,9.6,227
3.6,10.7,251
3,11.3,267
3.6,11.1,261
4.2,13.8,324
2,9.5,222
3.6,10.5,246
2,9.9,232
3.6,11.5,269
3.6,12.7,298
6.2,14.3,337
6.2,14,328
2,8.9,209
2,9.7,227
3.6,10.6,250
3.6,11.2,263
3.6,11,259
3.6,11.6,272
3.6,12.8,302
2.5,9.9,232
3.6,10.6,250
3.6,11.3,265
2,9.4,220
2,10.1,235
3.6,10.4,246
3.6,11.8,277
6.2,12,279
6.2,12.6,297
6.2,15.1,355
6.2,14.9,349
2.5,10.8,253
2.5,10.7,251
2.8,10.1,270
3.6,11.7,274
2.5,11.4,267
2.8,10.5,283
3.6,12.2,286
2.8,12.1,326
3.6,14.1,331
6.2,12.7,299
6.2,12.2,286
6.2,14,331
6.2,13.5,318
6.2,16.1,381
6.2,15.6,368
1.4,7.3,172
1.4,7.3,172
1.6,6.4,172
1.4,7.3,172
1.4,7.5,175
1.6,6.6,178
1.5,8.3,196
1.6,7.4,199
1.5,8.6,207
1.6,7.4,199
2,9.7,228
2.5,9.6,225
3.6,10.8,254
3.6,14.6,245
1.5,7.5,174
2,9.1,214
1.8,5.1,121
2.7,11.1,261
4.3,13.5,316
5.3,13.9,326
5.3,14,329
5.3,18.4,306
5.3,12.4,290
2.7,11.7,275
4.3,14,329
4.3,14.8,347
5.3,14,329
5.3,14.4,339
5.3,19.3,322
5.3,14.9,350
5.3,13.1,306
5.3,13.7,320
6.2,13.7,321
5.3,13.5,317
5.3,13.8,325
1.4,7.1,167
1.4,7.2,170
5.3,13.4,314
5.3,13.4,314
5.3,17.9,298
5.3,14.3,336
5.3,14.3,336
5.3,19,317
6.2,14.5,340
5.3,13.4,314
5.3,13.4,314
5.3,17.9,298
5.3,13.7,321
5.3,13.7,321
5.3,18.4,305
6.2,13.8,325
3.6,11.1,261
3.6,11.8,277
1.4,8.4,196
1.4,8.3,194
1.4,9.1,214
3.6,10.3,242
3.6,10.3,242
3.6,14.2,234
5.7,12.3,289
3.6,11,258
3.6,11,258
3.6,15,248
3.6,10.9,259
3.6,10.6,249
3.6,10.3,242
5.7,13.1,307
6.4,13.9,325
5.7,12.3,289
6.4,13,304
3.6,11,258
6.2,14.5,339
6.2,15.1,352
6.2,14.5,339
3.6,11.6,271
3.6,11.6,271
3.6,16.1,268
3.6,10.3,242
3.6,10.3,242
3.6,14.2,234
5.7,12.9,302
5.7,12.3,289
6.4,13,304
3.6,11,258
3.6,11,258
3.6,15,248
5.7,13.3,312
6.2,14.5,339
3.6,11.3,265
5.7,14.1,331
6.4,15.6,363
3.6,11.8,276
3.6,16.7,274
2.4,11.1,261
3.6,12.1,284
3.6,16.4,274
3.6,12.4,292
1.4,8,187
1.4,7.9,185
1.4,8.7,203
1.4,7.9,186
1.4,9.4,221
1.3,9.1,213
1,8.4,196
2,9.3,218
2,9.6,224
2,10,233
2.7,11,259
1.5,9.1,214
2.5,9.6,226
2.5,13.1,218
1.5,9.9,232
2,10.2,239
3.5,12.5,293
3.5,13.1,307
2.3,11.4,267
3.5,13.2,311
3.5,12.7,299
3.5,17.3,288
2.7,10.6,249
2.7,11.1,260
2.7,11.1,260
3,9.5,256
3,9.7,260
3.3,10.9,256
3.3,14.9,247
3.3,11.2,263
3.3,14.9,247
3.5,12,281
3.5,12.4,291
3.5,12.7,298
5,12.2,287
5,17.4,290
5,13.1,308
5,17.5,290
5,13.9,326
5,17.5,291
2.7,11.4,268
2.7,11.8,277
2.7,11.8,277
3,10.7,287
3,10.7,287
3,9.9,266
3.3,11.6,273
3.3,15.8,263
3.3,12.4,291
3.3,15.8,263
3.5,12.5,295
3.5,12.9,303
3.5,13.1,308
3.5,12.6,296
5,13.3,312
5,18,300
5,13.9,326
5,18,300
5,14.8,347
5,19.5,323
3.5,14.3,336
3.5,12.7,298
3.5,12.9,303
3.5,13.7,322
1.6,7.6,178
1.6,7.9,184
1.6,8.4,196
1.5,8.7,204
2,5.6,131
3.5,17.1,402
2.3,9.4,221
2.3,10.3,242
2.3,9.7,227
2.3,10.4,244
5,12.3,289
5,13.3,311
5,13.3,311
2.3,10.4,243
2.3,10.3,241
5,12.9,302
2.3,10.9,256
5.2,14.6,341
3.5,14.7,346
3.7,15.2,355
3.5,11.5,270
3.5,15.2,254
3.5,12.5,294
3.5,12.4,291
3.5,16,267
2,9.3,219
2,9.3,219
2,12.6,209
2.5,10.6,247
2,9.2,214
2,9.2,214
2,12.5,208
2.5,10.7,251
2,10.9,255
2,10.3,241
3.3,11.6,274
3.3,11.9,282
3.8,11.7,276
5,13.2,312
3.3,11.9,279
5,13,306
2.5,10.2,237
3.6,11.4,268
2.5,10.5,248
3.6,11.7,275
2.5,10.8,253
2.5,10.7,251
2.8,10.1,270
3.6,11.7,274
2.5,11.4,267
2.8,10.5,283
3.6,12.2,286
2.7,11.1,261
4.3,13.5,317
5.3,13.9,326
5.3,14,329
5.3,18.4,306
5.3,12.5,294
2.7,11.8,277
4.3,14,329
5.3,14,330
5.3,14.4,339
5.3,19.4,323
5.3,13.5,316
5.3,13.7,320
6.2,13.9,326
6.2,14.2,332
5.3,13.5,317
5.3,13.8,325
1.5,8.6,201
1.6,7.4,199
1.5,9,210
1.6,7.4,199
2,10.2,239
5.3,13.4,314
5.3,13.4,314
5.3,17.9,298
5.3,13.7,321
5.3,13.7,321
5.3,18.4,305
6.2,13.8,325
5.3,13.4,314
5.3,13.4,314
5.3,17.9,298
5.3,14.3,336
5.3,14.3,336
5.3,19,317
6.2,14.5,340
1.5,7.2,168
1.5,7.6,177
1.5,7.9,185
2,9.2,214
2,9.1,211
2,5,117
1.5,7.2,167
2,7.1,164
2,7.5,176
2,8.1,189
1.5,7.4,173
1.5,6.9,162
1.5,7.3,170
1.5,7.2,167
1.5,7.3,170
1.5,7.2,167
1.5,7.1,165
2,7.1,167
2,8,186
1.5,7.4,173
2,9.6,224
1.5,7.8,181
1.5,8,188
1.5,6.5,151
1.5,7,166
1.5,7.4,174
1.8,7.8,181
1.8,8.2,193
1.8,8.5,199
1.5,4.9,114
1.5,4.9,114
3.5,10.7,252
3.5,10.6,247
3.5,11.3,265
3.5,10.7,250
3.5,11.3,266
3.5,11,257
3.5,11.3,263
1.6,7.3,172
1.6,7.3,173
1.6,8.1,189
1.6,9.4,221
2,7.4,174
2,8,188
1.6,8.6,205
1.6,9.2,218
2,8.4,200
2,8.7,207
1.6,4.3,104
1.6,4.1,96
2,7.9,186
1.6,8.6,201
2,8.6,202
2.4,9.6,225
2,11.2,262
2.4,10.1,237
3.3,11.5,268
3.3,11.7,276
3.3,12.6,297
2,9.1,212
2.4,8.3,198
2.4,8.1,190
2,5.7,135
2,5.6,132
2,9.1,216
2,10.1,239
2.4,10.1,240
2,8.2,193
2,8.4,198
2,9.5,226
1.6,7.8,184
1.6,8.3,197
2,9.7,229
3,10.8,253
3,11.1,261
2,10,233
3,10.7,251
3,11,259
3.7,11.7,275
5.6,12.8,301
2,9,211
3.5,10.9,257
5.6,15.1,354
2,9.8,231
2,8.1,218
2,9.9,227
3,11.8,277
2,9.2,215
3,10.4,242
3,12.6,296
3,10.8,253
3,12.9,302
3,11.3,265
2,9.2,215
3,10.4,242
3,12.6,296
3,10.8,253
3,12.9,302
3,11.3,265
5,13.3,311
5,13.3,311
2,6.9,186
2,8.5,200
3,10.2,238
2,6.9,186
2,8.8,207
3,10.4,243
3,11.8,276
3,11.9,280
5,13.3,313
2,9.1,214
2.4,9.3,219
3.2,10.2,240
2,9.8,229
2.4,9.8,230
3.2,10.6,249
2,10.2,240
3.2,11.1,259
2,10.6,249
3.2,11.6,269
2.4,9.3,218
2.4,9,211
2.4,9.5,222
2.4,9.4,221
3.6,11.3,265
5.7,14.1,331
3,10,268
6.4,15.7,368
6.2,17.7,413
1.3,8.7,204
2.4,9.5,222
1.3,9.2,216
2.4,9.8,230
1.3,9.9,230
2,10,233
3.6,11.8,274
3.6,11.8,277
2,10.5,245
3.6,11.7,275
3.6,12.2,285
3.3,10.2,238
2,6.9,164
2,7.6,180
1.6,4.8,114
1.6,4.7,110
1.6,5.4,129
2,9.7,230
2.4,8.4,199
2,5.7,133
1.6,7.5,177
1.6,7.5,175
3.3,11.5,272
2.4,9.6,225
2.4,10.2,242
3.3,11.2,265
1.6,8.5,199
1.6,8.4,198
2,8.7,206
2.4,9.2,218
2,11.1,263
2.4,10.5,247
2,9.7,229
3.3,11.8,279
6.5,21.5,487
6.5,21.7,493
5.2,15.9,366
5.2,15.7,370
5.2,15.9,366
5.2,15.7,370
5.2,15.7,370
5.2,15.7,370
4,16.9,384
3,13.3,311
3,10.4,279
2,10.5,246
3,12.4,291
3,9.6,256
5,13,305
5,15.5,365
3,12.4,291
3,9.6,256
5,12.6,294
2,9.6,225
2,9.8,231
2,8.5,229
2,10.6,248
3,11.6,273
2.5,5.3,124
3.5,9.1,211
3.5,9.4,219
3.5,10.9,254
5,12.5,293
4.6,14.6,341
2,9.5,220
3.5,10.9,254
3.5,10.9,254
5,12.6,294
3.5,8.1,189
3.4,11.1,261
3.5,9.1,214
5.7,15.8,371
2,9.7,226
2,9.9,232
2.5,7.5,176
3.5,11.2,262
3.5,11.2,262
5,12.6,289
3.5,10.8,252
3.5,11.1,268
3.5,7.9,185
3.5,8.1,190
2,7.2,168
2,5.6,130
2,6,140
2.7,12,281
3,12.3,289
3.7,12.2,287
2,11,257
2,10.9,256
2.3,11.5,270
3.5,13.7,322
3.7,12.7,297
2,10.4,245
3,11.8,278
2,5.9,139
2,10.7,250
2.7,11,259
3.5,13.4,314
3,12.2,286
3,12.6,295
3,12.6,295
4.7,15,354
3,13.7,324
3,14,330
3.8,15.3,360
3.8,15.3,360
3,12.8,299
3,12.8,301
3.8,13.7,321
2,7.7,179
2,8,186
2,8.1,189
2,8.8,206
2.5,8.8,206
2.5,8.5,201
2.5,9.3,217
2.5,9,208
2.5,9.8,230
2.2,8.4,227
2.5,9.6,225
2.5,10.5,244
2,7.6,178
2,7.7,180
2.5,7.7,181
2.5,7.8,183
2.5,8.2,192
2,7.7,181
2,7.8,181
2.5,8,187
2.5,8.1,189
2.5,8.7,204
2.5,8,187
2.5,8.9,208
2,7.9,186
2,8.1,189
2,8.4,195
2,8.5,199
